Description,ncRNA Name,Disease,PMID,Labels
"Our results indicate a strong BC200 presence in both the normal brains and NAD affected neocortices,but a 70 per cent reduction in BC200 signal strength in AD afflicted brains.",BC200,AD,1603265,1
The increased expression of Rb and p53 RNA was observed in a majority of colorectal cancers in comparison to adjacent normal mucosa and is accompanied by proportional increase in the expression of histone H3 gene.,Rb//p53,colorectal cancers,1784274,1
The correlation of chromosomal loss in 17p on the cytogenetic and molecular level along with p53 mRNA expression and DNA sequence data indicate that genetic alterations in p53 could be a feature of malignant mesotheliomas and may reveal an important role of asbestos fibers in tumor suppressor gene inactivation.,p53,malignant mesotheliomas,1913660,1
"It is reexpressed in a number of tumors including bladder carcinoma, demonstrating that H19 RNA is an oncofetal RNA.",H19,bladder carcinoma,7589512,1
Prominent expression of H19 was found in placental site trophoblastic tumor and gestational choriocarcinoma.,H19,gestational choriocarcinoma//trophoblastic tumor,8188082,1
"Immunostaining of p53 is associated with the malignant phenotype,but does not correlate with the biological behavior of human endometrial carcinoma.",p53,endometrial carcinoma,8517643,1
"Loss of imprinting (LOI) of the endogenous gene H19 was frequently found in lung cancer and chorio-carcinoma,common adulthood cancers.",H19,lung cancer//chorio-carcinoma,8564957,1
High incidence of loss of heterozygosity and abnormal imprinting of H19 and IGF2 genes in invasive cervical carcinomas.,H19//IGF2,invasive cervical carcinomas,8570220,1
We analyzed p53 sequence and c-myc and p53 mRNA expression in 26 metastases and 4 advanced primaries of human colorectal cancer.,p53,colorectal cancer,8750149,1
"The biallelic expression of H19 was only partial in two medulloblastomas,however,with one allele being significantly weaker than the other.",H19,medulloblastomas,8957451,1
"Inactivation of the p53 function in colorectal cancers involves at least two distinct mechanisms,including p53 overexpression and/or mutation.",p53,colorectal cancers,9052405,1
Choriocarcinomas were characterized by a low expression of IGF2 and a high expression of H19 with the transcripts being apparently intact in size.,IGF2//H19,Choriocarcinomas,9062579,1
All 4 informative testicular germ cell tumors showed LOI for the H19 gene.,H19,testicular germ cell tumors,9112575,1
Here we show that the expression of the H19 gene is significantly suppressed with respect to normal muscle tissue in 13 out of 15 rhabdomyosarcomas with embryonal histology (ERMS) and in three out of 11 rhabdomyosarcomas classified as alveolar subtype (ARMS).,H19,rhabdomyosarcomas,9136994,1
"XIST was expressed at a higher level in parenchyma with carcinoma in situ,the precursor lesion of seminomas and nonseminomas.",XIST,seminomas,9250171,1
"Low frequency hTR expression was also associated with adenocarcinoma of the breast (13%), and ovary (17%).",hTR,adenocarcinoma of the breast,9519871,1
Differentiated tissues within ovarian germ cell tumours and in testicular teratomas lacked detectable hTR expression.,hTR,ovarian germ cell tumours//testicular teratomas,9519871,1
"Unlike WT, loss of imprinting (LOI) of IGF2 in HCC was not linked to down-regulation of H19 expression, but rather associated with coexpression for H19 and IGF2. Thus, Hl9 and IGF2 expression can be uncoupled in tumors with LOI.",H19//IGF2,HCC,9570364,1
Overexpression of hTR due to stem cell hyperplasia is an early event of carcinogenesis of the stomach.,hTR,carcinogenesis of the stomach,9613120,1
In 72.5% of studied breast adenocarcinomas an overall H19 gene expression is increased when compared with healthy tissues.,H19,breast adenocarcinomas,9811352,1
"aHIF is specifically overexpressed in all nonpapillary clear-cell renal carcinomas examined,but not in the papillary renal carcinomas examined, aHIF is overexpressed in an established nonpapillary renal carcinoma cell line under both normoxic (i.e.,normal aerobic) and hypoxic conditions.",aHIF,nonpapillary clear-cell renal carcinomas,9923855,1
The differences in p53 protein and/or mRNA contents reflect corresponding differences in the pathogenetic importance of p53 alterations in these types of adrenal tumors.,p53,adrenal tumors,9972675,1
The incidence of WIT-1 methylation in primary refractory AML was significantly higher than that noted in chemosensitive AML (P=0.018).,WIT-1,AML,10340388,1
The highest levels of hTR expression were found predomintly in ovarian carcinomas.,hTR,ovarian carcinomas,10404098,1
H19 is expressed in the majority of serous epithelial tumors.,H19,serous epithelial tumors,10428315,1
Changes in the expression of sra-related molecules occur during breast tumor progression.,sra,breast tumor,10485452,1
Upregulation of hTR expression detected by ISH assay may be a useful marker or tool for the early detection of gastric cancer.,hTR,gastric cancer,10571509,1
These data suggest that loss of imprinting at the IGF2 and H19 loci play a role in the oncogenesis of head and neck carcinoma.,IGF2//H19,head and neck carcinoma,10597307,1
In situ hybridisation visualised a moderate to high upregulation of hTR in the melanoma cells but not in the admixed reactive cells.,hTR,melanoma,10655201,1
"PEG8/IGF2AS and IGF2 were found to be overexpressed in Wilms' tumor samples,at levels over ten and a hundred times higher than that in normal kidney tissues neighboring the tumors,respectively.",PEG8/IGF2AS//IGF2,Wilms' tumor,10731720,1
These results indicate that modulation of the imprinting status of IGF2 and H19 may play an important role for the development of meningiomas.,IGF2//H19,meningiomas,10738131,1
"Altogether,these observations indicate that DISC1 and DISC2 should be considered formal candidate genes for susceptibility to psychiatric illness.",DISC1//DISC2,psychiatric illness,10814723,1
"We have recently identified a minimally deleted region encompassing parts of two adjacent genes,termed LEU1 and LEU2 (leukemia-associated genes 1 and 2),frequently deleted in B-cell chronic lymphocytic leukemia.",LEU1//LEU2,B-cell chronic lymphocytic leukemia,11161783,1
These results suggest that LOI of LIT1 is frequently observed in colorectal cancer and may be a useful marker for diagnosis of colorectal cancer.,LIT1,colorectal cancer,11340379,1
The expression of hTR is a prevailing event in lung cancer and therefore can be used as an indicator of lung maligncy.,hTR,lung maligncy,11769728,1
NAG-7 is a novel gene downregulated in human nasopharyngeal carcinoma.,NAG-7,nasopharyngeal carcinoma,11780420,1
"Telomerase activity, hTR expression and hTRT/hEST2 are frequently detected at higher levels in NSCLC than the pericancerous normal tissues.",hTR//hTRT/hEST2,NSCLC,11783109,1
"Interestingly, this protein accumulates in many cancerous tissues, such as breast carcinomas in which we have also demonstrated an overexpression of the H19 gene.",H19,breast carcinomas,11896592,1
"The results suggest that hTR might indirectly reflect the telomerase activity, and be used as a new marker for diagnosis of malignt melanoma and metastasis prediction.",hTR,melanoma,11938761,1
Expression of the DD3(PCA3) gene is a very sensitive and specific marker for the detection of prostate tumor cells in a high background of normal (prostate) cells.,DD3,prostate tumor,11980670,1
M41 mRNA is expressed at a statistically significantly higher level in human breast cancer specimens than in normal human breast and benign lesions.,M41,breast cancer,12177779,1
